attribute_54,attribute_55,attribute_56,attribute_57,attribute_50,attribute_51,attribute_52,attribute_53,attribute_58,attribute_38,attribute_36,attribute_37,attribute_21,attribute_20,attribute_23,attribute_22,attribute_25,attribute_24,attribute_27,attribute_26,attribute_29,attribute_28,attribute_60,attribute_47,attribute_46,attribute_45,attribute_44,attribute_43,attribute_42,attribute_41,attribute_40,attribute_59,attribute_49,attribute_39,attribute_48,attribute_6,attribute_7,attribute_4,attribute_5,attribute_2,attribute_3,attribute_1,attribute_8,attribute_9,attribute_18,attribute_19,attribute_34,attribute_35,attribute_32,attribute_33,attribute_30,attribute_31,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,Class
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,0.1506_to_inf,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,0.9233_to_inf,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,0.19795_to_inf,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,0.38545_to_inf,0.4271_to_inf,All,All,All,All,All,0.04535_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,0.1506_to_inf,0.19795_to_inf,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,0.00935_to_inf,All,All,All,0.44265_to_inf,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,0.0606_to_inf,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,0.1506_to_inf,0.19795_to_inf,0.19625_to_inf,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,0.19795_to_inf,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,0.00935_to_inf,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,0.9233_to_inf,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,0.9233_to_inf,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,0.1506_to_inf,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,0.9233_to_inf,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,0.07585_to_inf,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,0.19625_to_inf,0.16265_to_inf,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,0.04535_to_inf,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,0.19625_to_inf,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,-inf_to_0.00935,All,All,All,0.44265_to_inf,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,0.00935_to_inf,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,0.00935_to_inf,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,-inf_to_0.6496,-inf_to_0.51445,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,0.09145_to_inf,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,-inf_to_0.0392,-inf_to_0.08145,All,All,0.07545_to_inf,-inf_to_0.10115,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,0.00935_to_inf,All,All,All,-inf_to_0.44265,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,-inf_to_0.07545,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,0.01195_to_inf,-inf_to_0.00935,All,All,All,-inf_to_0.44265,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,-inf_to_0.06235,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,0.19475_to_inf,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,-inf_to_0.16265,All,All,All,All,Rock
-inf_to_0.0225,All,All,All,All,-inf_to_0.01195,0.00935_to_inf,All,All,All,-inf_to_0.44265,All,0.6496_to_inf,0.51445_to_inf,All,All,All,All,All,All,All,-inf_to_0.9233,All,0.06235_to_inf,-inf_to_0.09145,-inf_to_0.38545,-inf_to_0.4271,All,All,All,All,All,-inf_to_0.04535,All,-inf_to_0.07585,All,All,-inf_to_0.0606,0.0392_to_inf,-inf_to_0.08145,All,All,0.07545_to_inf,0.10115_to_inf,All,All,All,-inf_to_0.19475,All,All,All,All,-inf_to_0.1506,-inf_to_0.19795,-inf_to_0.19625,0.16265_to_inf,All,All,All,All,Rock
